transit_timestamp,bus_route,payment_method,fare_class_category,ridership,transfers,date
2023-01-01T00:00:00.000,Q75,metrocard,OMNY - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q75,omny,Metrocard - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q75,omny,OMNY - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q76,metrocard,Metrocard - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q76,metrocard,Metrocard - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q76,metrocard,Metrocard - Unlimited 30-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q76,metrocard,OMNY - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q75,metrocard,OMNY - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q82,metrocard,OMNY - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q64,omny,Metrocard - Unlimited 7-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q64,omny,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q53+,metrocard,Metrocard - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q53+,metrocard,OMNY - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q53+,omny,Metrocard - Unlimited 7-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q54,metrocard,OMNY - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q54,omny,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q55,metrocard,Metrocard - Full Fare,6,3,2023-01-01
2023-01-01T00:00:00.000,Q55,metrocard,Metrocard - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q55,metrocard,Metrocard - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q55,omny,Metrocard - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q55,omny,Metrocard - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q55,omny,Metrocard - Unlimited 30-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q56,metrocard,Metrocard - Fair Fare,3,2,2023-01-01
2023-01-01T00:00:00.000,Q56,metrocard,OMNY - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q56,metrocard,OMNY - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q56,omny,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q53+,metrocard,Metrocard - Fair Fare,1,1,2023-01-01
2023-01-01T00:00:00.000,Q52+,omny,Metrocard - Unlimited 30-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q52+,omny,Metrocard - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q52+,omny,Metrocard - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q50,metrocard,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q50,metrocard,Metrocard - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q50,metrocard,Metrocard - Unlimited 7-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q50,metrocard,OMNY - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q50,metrocard,OMNY - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q50,omny,OMNY - Full Fare,3,1,2023-01-01
2023-01-01T00:00:00.000,Q51,metrocard,Metrocard - Unlimited 7-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q56,omny,Metrocard - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q51,metrocard,OMNY - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q51,omny,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q52+,metrocard,Metrocard - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q52+,metrocard,Metrocard - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q52+,metrocard,OMNY - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q52+,metrocard,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q52+,omny,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q52+,omny,Metrocard - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q51,metrocard,OMNY - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q64,omny,Metrocard - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q56,omny,OMNY - Full Fare,2,0,2023-01-01
2023-01-01T00:00:00.000,Q58,metrocard,Metrocard - Other,1,0,2023-01-01
2023-01-01T00:00:00.000,Q63,metrocard,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q63,metrocard,Metrocard - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q63,metrocard,Metrocard - Unlimited 30-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q63,metrocard,Metrocard - Unlimited 7-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q63,metrocard,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q63,omny,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q63,omny,Metrocard - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q63,omny,Metrocard - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q63,omny,OMNY - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q64,metrocard,Metrocard - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q64,metrocard,Metrocard - Seniors & Disability,1,1,2023-01-01
2023-01-01T00:00:00.000,Q64,metrocard,Metrocard - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q64,metrocard,Metrocard - Unlimited 7-Day,2,0,2023-01-01
2023-01-01T00:00:00.000,Q64,metrocard,OMNY - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q64,metrocard,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q61,omny,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q61,metrocard,OMNY - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q61,metrocard,Metrocard - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q60,omny,OMNY - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q58,metrocard,Metrocard - Seniors & Disability,3,1,2023-01-01
2023-01-01T00:00:00.000,Q58,metrocard,OMNY - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q58,metrocard,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q58,omny,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q58,omny,Metrocard - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q58,omny,Metrocard - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q58,omny,Metrocard - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q56,omny,OMNY - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q59,metrocard,Metrocard - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q59,metrocard,OMNY - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q59,metrocard,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q59,omny,Metrocard - Unlimited 30-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q59,omny,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,Q60,metrocard,Metrocard - Unlimited 30-Day,6,0,2023-01-01
2023-01-01T00:00:00.000,Q60,omny,Metrocard - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q60,omny,Metrocard - Unlimited 7-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,Q59,metrocard,Metrocard - Unlimited 30-Day,1,0,2023-01-01
2023-01-01T00:00:00.000,Q5,omny,OMNY - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,Q82,omny,Metrocard - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q83,metrocard,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,QM12,omny,Metrocard - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,QM12,omny,Metrocard - Unlimited 7-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,QM12,omny,OMNY - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,QM12,omny,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,QM15,metrocard,Metrocard - Unlimited 30-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,QM15,metrocard,Metrocard - Unlimited 7-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,QM16,metrocard,Metrocard - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,QM16,metrocard,Metrocard - Unlimited 7-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,QM16,metrocard,OMNY - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,QM16,metrocard,OMNY - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,QM16,omny,OMNY - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,QM16,omny,OMNY - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,QM17,metrocard,Metrocard - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,QM17,metrocard,OMNY - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,QM17,omny,Metrocard - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,QM12,omny,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,QM12,metrocard,OMNY - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,QM12,metrocard,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,QM12,metrocard,Metrocard - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q98,metrocard,OMNY - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q98,omny,Metrocard - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,Q98V,omny,OMNY - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,QM1,metrocard,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,QM1,metrocard,Metrocard - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,QM1,omny,Metrocard - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,QM1,omny,Metrocard - Unlimited 7-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,QM18,metrocard,Metrocard - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,QM1,omny,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,QM10,omny,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,QM10,omny,Metrocard - Unlimited 7-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,QM10,omny,OMNY - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,QM10,omny,OMNY - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,QM11,metrocard,Metrocard - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,QM11,omny,Metrocard - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,QM11,omny,Metrocard - Unlimited 30-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,QM1,omny,OMNY - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,Q98,metrocard,Metrocard - Unlimited 7-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,QM18,metrocard,Metrocard - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,QM18,omny,Metrocard - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,QM25,omny,Metrocard - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,QM25,omny,Metrocard - Unlimited 7-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,QM25,omny,OMNY - Fair Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,QM25,omny,OMNY - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,QM25,omny,OMNY - Seniors & Disability,0,0,2023-01-01
2023-01-01T00:00:00.000,QM3,metrocard,Metrocard - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,QM3,metrocard,Metrocard - Unlimited 7-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,QM3,metrocard,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,QM3,omny,OMNY - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,QM31,metrocard,OMNY - Full Fare,0,0,2023-01-01
2023-01-01T00:00:00.000,QM31,omny,Metrocard - Other,0,0,2023-01-01
2023-01-01T00:00:00.000,QM31,omny,Metrocard - Students,0,0,2023-01-01
2023-01-01T00:00:00.000,QM31,omny,Metrocard - Unlimited 30-Day,0,0,2023-01-01
2023-01-01T00:00:00.000,QM31,omny,Metrocard - Unlimited 7-Day,0,0,2023-01-01
